stage,Cardiomyocyte,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,14,0,0,0,0,0,0,0,0,0
72hpf,0.28,0,0,0,0.28,0,0,0,0,0,0,0,0.28,0,0.28,0,0.85,0,0,0,0,6.2,3.1,0,0,0,0.56,0,0,0,0,0
21Day,0,0,1.11,0.37,0,0,0.37,0,0,0,0,0,0.74,0,0.37,0.74,2.22,0,0,0,0,1.48,2.59,0,0.37,0,0.37,0.37,0,0,0,0
3Month,0,0,0.73,0,0,0,0,0,0.52,0,0.31,0.42,0,0.1,0.1,0,0.52,0.21,0,0,0.1,0,0,0.1,0,0,0,0,3.22,0.21,1.14,0.21
22Month,0,0.14,1.37,0,0,0.14,0.27,0.27,0.68,0.41,5.19,0.41,1.09,1.09,0.27,1.37,1.37,0.41,0.14,0.27,0,0,0,0.14,0,0.14,0,0,4.65,0.14,0,0.68
