stage,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,13,0,0,1,0,0,0,1,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0.28,0,0,0.56,0,3.38,3.38,0,0,0.28,0,0,0.28,1.13,0,0,0
21Day,0,0.74,0,0.37,0,0,0,0,0.37,0,0,0,0,0,1.11,1.48,0,0,0.74,0,0.37,1.11,1.85,0,0,0
3Month,0.21,1.25,0.1,0,0.1,0.1,0.52,0.21,0.52,0.21,0.31,0.42,0,5.82,0.1,0,0.31,0.1,0,0.1,4.47,0,0.42,0.1,0.94,0.31
22Month,0,0.14,0,0,0,0.27,1.78,0,0,0,0,0,0.14,0.27,0,0,0.14,0,0,0,0.55,0.55,0,0,0,0.14
