stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,3,0,0,0,0,0,0,0,0,1,0,0
72hpf,0.56,0,0,2.82,0.28,2.25,0,0,0,0,0,0.28,0,0.56,2.54,0.28,3.1,0.28,169.39,8.46,0.56,0.28,2.54,0,0,2.25,0,0,0.56,0,0
21Day,1.85,0,0,2.59,0,1.11,0,0,0,0.37,0,1.11,0.74,0,1.48,0,1.11,0,58.46,1.48,0,0.37,0.37,1.48,0,0.37,0,1.48,0.37,0,0.74
3Month,0,0,0.1,0.42,0,0,0,0.1,0,0.83,0.31,0,0.21,0,0.1,0.31,0.21,0,1.66,0,0.1,0,0,0,0.21,0.31,0,0,0,0.31,0.31
22Month,0,0.14,0.14,0.68,0.14,0,0.14,0.82,4.37,5.33,0.41,0,1.64,0,0,0.55,0.27,0,4.51,0,0,0.14,0,0,0.27,3.96,0.14,0,0,0,0
