stage,Endothelial_cell,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Nephron_cell,Neural_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
72hpf,0.28,0,0.28,0,0,0,0,0,0,0,0,0.28,0,0,0,1.69,0.28,0,0,0,0,0
21Day,0.37,0.74,1.11,0.74,0,0,0,0,0,0,0,0,0,0,0,0.74,0.37,0,0,0,0,0
3Month,0,0.1,0,0,0.21,0,2.7,0.31,0.42,0.21,0.31,0.21,0.42,0,0.1,0.1,0,0.1,0.73,0.1,6.14,0.31
22Month,0,0,0,0,0,0.14,2.87,0.14,0.14,0,0,0,0,0.14,0,0,0,0,0,0,0,0
