stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
72hpf,12.68,0,0,0,0,0.28,0,0,0,0,0,0,0,0,0,0,0,0,0.28,0,0,0,0,0.56,0.56,0,0.28,0,0,0,0,0.28,0,0,0
21Day,10.73,0,0,0.37,0,0,0,0,0,0,0,0.37,0,0,0.37,0,0,0,1.85,0,0,2.59,0,2.22,0.37,0,0.37,0.74,0,0.74,0.74,0,0,0,0
3Month,4.26,0,0.1,1.87,0,0,0,0,0.21,0.62,0,3.85,0.52,0.31,1.25,0.31,0.73,0.73,1.04,0.1,0,0.42,0.83,0.21,0,0.1,0,0,0.62,0,0,0.1,0.1,0.21,0
22Month,1.37,0.41,0,1.09,0.14,0,0.27,0.14,0.27,0.68,0.41,20.63,0.41,0.41,2.32,0.14,0.55,0.41,1.5,0,0.27,0.27,0.27,0.14,0,0.14,0.27,0.68,0.41,0,0,0,0.14,0,0.14
