stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Macrophage,Mesenchymal_cell,Mt_rich_cell,Neural_progenitor_cell,Primordial_germ_cell,Spermatocyte,T_cell
24hpf,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0
72hpf,0.28,0,0,0,0,0,0,0,0,0.28,0,0,0,0,0,0
21Day,0,0,0,0,0,0,0,0,0,0.74,0,0,0,0,0,0
3Month,0,0,0,0,0,0,0.1,0.42,0.1,0.21,0.1,0,0,0.21,0.1,0
22Month,0.14,0.27,0.27,0.14,0.41,0.14,0.96,0.14,0.27,0.41,0.27,0.14,0,0.14,0,0.14
