stage,Endothelial_cell,Enterocyte,Epithelial_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,5,0,0,0,0,0,0,0,0
72hpf,0,0,0.28,0,0,0,0,0,0,0,0.28,0,0.28,0,0,2.25,0.28,0.28,0,0,0,0,0,0,0
21Day,0,0,0.37,0,0,0,0,0,0,0,0,0,0,0,0,0.37,0,0,0,0.37,0,0,0,0,0
3Month,0.1,3.22,0.31,0,0.1,0,0.21,0.1,0.31,0,0,0,0.1,0,0.1,0,0,0.21,0,0,0.1,2.39,0,0.73,0.1
22Month,0.27,0.14,0.14,0.14,1.64,0.27,1.91,0.27,0.41,0.14,0.27,0.41,0.41,0.14,0,0,0,0,27.33,0,0,1.37,0.14,0,0.27
