stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Pancreatic_macrophage,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0
72hpf,0.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.28,0,1.97,0,0,0,0,0.56,0.28,0,0,0.56,0,0,0,0,0,0,0.28,0,0,0
21Day,0.74,0.37,0,0.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.92,0,0,0,0,0,0,0,0,0.37,0,0,0,0,0,0.37,0,0.37,0,0.74
3Month,0.42,5.1,2.91,39.11,0.1,0.73,0.83,0.1,6.35,16.33,0.1,47.33,22.68,1.35,25.48,3.33,17.37,9.15,156.65,7.28,0.31,3.64,3.74,2.39,0.42,2.29,1.77,0.83,6.14,0.21,9.47,0.21,0.1,0,0.21,30.48,4.47,13.31
22Month,0,0.41,0,1.09,0,0.14,0.14,0,0.27,0.82,0.55,8.88,0.27,0,0.68,0.14,0.41,0.41,8.75,0.14,0.14,0.41,0,0,0,0.14,0.14,0,0,0,0.14,0.14,0.14,0,0,2.46,0,0.14
