stage,Epithelial_cell,Hepatocyte,Immune_cell,Keratinocyte,Macrophage,Muscle_cell
72hpf,0,0,0,0.28,0,0
21Day,1.11,0,0,0,0.37,0
3Month,0.1,0,0.52,0,0,0.73
22Month,0,0.14,0.27,0,0,0.14
