stage,Epithelial_cell,Granulocyte,Granulosa_cell,Hepatocyte,Intestinal_bulb_cell,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Primordial_germ_cell,Retinal_cell,Spermatocyte
24hpf,0,0,0,0,0,0,0,1,0,0,0
72hpf,0,0,0,0,0,0,1.13,0,0,0.56,0
21Day,0.37,0,0,0,0,0.37,3.33,0.74,0,4.07,0
3Month,0.1,0,0,0.1,0.1,0,0,0,0.1,0,0.1
22Month,0,0.14,0.14,0,0,0.14,0,0,0,0,0
