stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Pancreatic_macrophage,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,6,60,0,22,1,0,0,2,0,2,0,2,0,0,1,0,1,8,41,49,0,0,0,0,13,37,0,0,11,0,0,0,0,0,0,0,0,0
72hpf,5.36,28.47,0,15.5,5.64,1.41,0,0.56,0,1.13,0,0,0,0,0.28,0,2.82,13.81,6.76,77.51,0,0,1.69,0,16.91,12.68,0,0,100.34,0.28,0,0,2.54,0.56,0,0,0,0
21Day,7.03,14.8,0.37,61.79,1.48,2.96,0,3.7,0,5.18,0,0,0,0.37,12.58,1.85,0.37,14.8,12.58,68.82,0,0.37,3.7,0,9.25,5.18,0,0,39.22,4.07,0,0.37,0.74,1.48,0.74,0.74,0,5.92
3Month,0.21,6.87,0,21.22,0.1,0,0,0.42,1.35,13.31,0,0,9.47,19.66,0.94,3.95,0.52,6.03,11.75,9.05,1.87,0,0.83,0.1,0.31,0.1,0.42,0.21,1.14,0.62,0.21,1.98,0,0,0,8.01,1.25,5.82
22Month,0,12.57,0.41,4.92,0,0,0.41,0.55,0.41,23.78,0.82,0,17.76,3.69,2.6,2.87,0.41,2.46,10.66,5.47,0.41,0.14,0.68,0.14,0.14,0,0.41,0,0.55,0.41,0,0.55,0.41,0,0,0.96,0,2.05
