stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0.28,0,0.56,0,0,0,0,0,0,0,0,0,0.85,2.25,0,0,0,0,0.28,0.56,0,0,0.56,0.28,0,0,0,0,0,0
21Day,0,0,0,2.22,0,0,0.74,0,0,0,0,0,0,0.37,6.66,0,0,0,1.11,0,0,0,0,0.37,0.37,0,0,0,0,0,0.37
3Month,0.1,0.42,0.31,3.74,0,0,1.04,0.42,0,2.29,0.42,0,10.3,0.42,0.52,0.42,0.31,0,13.94,0,0,0.1,0.1,0,0,1.77,0,0.1,0.62,0.42,0.52
22Month,0,4.37,0.82,1.5,0.27,0.14,0.96,1.5,0.27,11.89,0.14,0.14,15.85,0,0.27,1.23,0.82,0.27,3.83,0.14,0,0,0,0,0,0.14,0.14,0,0,0,0.27
