stage,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Primordial_germ_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0.28,0,0,0,1.13,0,0,0,0,0,0
21Day,0,0,1.85,0,0,0,0,0,0,0,0,0,0,0,0,0.37,0,0.37,0,0,0,0,0.37
3Month,0.21,0.21,1.46,0.1,0.1,0,0.31,0.52,1.14,0.1,1.87,0.1,0.52,0.52,0.21,0.21,0,0,0.31,0,0.1,0.21,1.04
22Month,0.27,0.14,0.41,0,0,0.14,0.14,0.27,0.82,0.14,0.82,0,0,0.14,0.14,0,0,0,0,0.14,0,0,0
