stage,Cardiomyocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Smooth_muscle_cell,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,1,1,0,0,0,0,0,0
72hpf,0,0,0,0,0.85,0,0,0,0,0,0,0,0,0,1.97,3.1,0,0.28,0,0.85,0.28,0,0.28,0,0,0,0
21Day,0.37,0.37,0.37,0,1.11,0,0,0,0,0,1.85,0,0,0.37,1.11,7.03,0,0,0.37,0.74,0,0,0.74,0.74,0,0,0
3Month,0,1.77,0,0.21,0.21,0.1,0.1,0.31,0.94,0.21,0.1,0.31,0.1,0.21,0.83,4.06,0.31,0,0.21,0.1,0,0,0.21,0.42,1.46,0.31,0.21
22Month,0,0.14,0,0.14,0.41,0,0,0.27,2.73,0.96,0.14,0.27,0.14,0,1.37,2.32,0,0.14,0.14,0,0,0.14,0,0.14,3.14,0,0.27
