stage,Epithelial_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Macrophage,Mesenchymal_cell,Nephron_cell,Neurosecretory_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Spermatocyte
24hpf,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
21Day,0,0,0,0,0,0,0,0.37,0.37,0,1.11,0.74,0,0.37,0
3Month,0.52,0.21,0.1,0.73,0.1,0.1,0.1,0,0.21,0.42,0.73,2.18,0.1,0,3.12
22Month,0.41,0,0,0.82,0,0,0,0,0,0,0.14,0,0,0,0
