stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Granulocyte,Hepatocyte,Immune_cell,Ionocyte,Keratinocyte,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Primordial_germ_cell,Radial_glia,Retinal_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,2,0,0,0,0,0,0,0,1,0,0,0,9,0,0,0,0,0,0,0,0,0
72hpf,0.28,0.28,0.28,0.28,0.28,0,0,0,0,0.56,0.56,0,0,5.92,1.13,0.28,0,0,0,0.56,0,0,0,0
21Day,0,0,3.33,0,0.37,0,0,0,0.37,0.74,1.48,0,0,3.7,0.37,0,0,1.48,0,0,0.37,0.37,0,0
3Month,0,0.1,0.1,0,0,0.1,0.31,0,0,0.1,0.21,0.1,0.1,0,0,0,0.1,0,1.04,0,0,0,0.21,0.1
22Month,0,0,0,0,0,0.14,0.14,0.27,0,0,0.27,0,0,0,0,0,0.14,0,0,0,0,0,0,0
