stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0.28,0,0.56,0,0,0,0,0,0,0,0,0,0.28,0.56,0,0.28,0,0,0,4.23,0.85,0,0.28,0.28,0,0,0,0.28,0,0,0
21Day,0.37,0,0,2.59,0.37,0.74,0,0,0,0.37,0,0,0,0.37,0,0,0,1.11,0,0,0,0,4.07,0.37,0,0,0,0,0,0.74,0.74,0,0,0
3Month,0,0.31,0.1,2.18,0,0,0.21,0.21,0.31,0.52,0,6.03,0.73,0,0.42,0.73,0.21,1.25,0.73,0.1,0.42,0.62,0.1,0,0.1,0,0,0.1,0.73,0,0,0.21,0.83,1.14
22Month,0,0,0.14,0.68,0,0,0,0,0.14,0.82,0.14,7.93,0.27,0,1.23,0,0.27,0.68,0.14,0,0.14,0,0,0,0.14,0,0,0,0.27,0,0,0,0,0
