stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,3,2,75,0,0,0,0,0,9,0,0,0,0,1,0,4,47,0,0,0,2,88,0,0,1,0,0,0,0,0,0
72hpf,1.69,0,7.61,0.85,0,0,0,0,0,0,0,0,0,0.85,1.69,0,34.1,0,0.28,2.25,4.79,3.38,0,0,22.55,0,0,0,0.28,0,0
21Day,0.74,1.11,2.59,0.37,0,0.37,0,0,0,0.37,0,2.22,0,0,1.11,0,18.5,0,0,28.12,2.96,0.74,0,0,3.7,0.74,0.37,0.37,0,0,0.37
3Month,0.1,1.56,1.46,0,0.21,0.1,0,0.73,0,2.18,0.83,0.31,0.21,0.1,0.1,0.21,7.07,0.1,0,5.41,0.1,0.1,0.62,0,0.31,0.21,1.46,0,0,0.21,0.52
22Month,0,0.14,0.14,0,0,0,0.14,1.23,0,2.73,0.96,0.14,0.41,0.14,0,0.14,0,0,0,0.14,0,0,0.14,0.14,0,0.27,17.35,0,0,0,0
