stage,Epithelial_cell,Granulocyte,Hepatocyte,Intestinal_bulb_cell,Keratinocyte,Mesenchymal_cell,Neural_cell,Osteoblast,Retinal_pigment_epithelial_cell
24hpf,0,0,0,0,0,0,1,1,0
72hpf,0,0,0,0,0,0,0,0.28,0.85
21Day,0,0,0,0,0,0,0.74,0,0.37
3Month,0.1,0,0.21,0.21,0.1,0.21,0,0,0
22Month,0,0.14,0.82,0,0,0,0,0,0
