stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte
24hpf,1,1,0,3,0,0,1,0,0,0,0,0,0,2,4,9,0,0,27,1,0,0,0,0,1,0,0
72hpf,0.28,0.28,0,0.28,0,0.28,0,0,0,0,0,0,0,0.28,0,1.97,0.28,0.85,0.56,0.56,0,0,0,0,0.28,0,0
21Day,0.37,0,0.37,9.62,0,1.48,0,0,0.74,0,0.37,0.37,1.48,31.82,0.37,0.37,0.74,0.74,0.74,0.74,0.74,0.37,0.74,0.74,0,0,0
3Month,0,0.21,0,1.04,0.1,0,0,0.21,2.08,0.31,0.1,0.73,0,0.31,0,0.42,0.1,0,0,0.1,0.21,17.16,0,0,0,0.31,0.42
22Month,0,0,0.27,0,0,0,0,0,0.68,0,0,0.27,0,0.14,0.27,0.14,0.14,0.14,0,0,0.14,3.69,0,0,0.14,0,0
