stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oocyte,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,2,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0.56,0,0,0,0,0,0,0,0,0,0,0.28,0.85,0,0,0,0,0.56,0.28,0,0,0,0,0,0,0,0,0
21Day,0.37,0,0,1.85,0,0.37,0,0,0,0,0,0,0.74,0,0,0,0,0.74,0,0,0,0,0,0,0,0.37,0,0,0,0,0
3Month,0.1,0.31,0.21,2.08,0.1,0,0.1,0.1,0.1,0,2.91,0.42,0,1.77,0.52,0.52,0.52,0.52,0,0.52,0,0,0.1,0,0.42,25.48,0.21,0,0.52,3.43,0.21
22Month,0.14,0.14,0,2.32,0.14,0,0.14,0.41,0.82,0,13.12,0.41,0.27,2.32,0.27,0.14,0.82,0.41,0.41,0,0.41,0,0.14,0.14,0,6.97,0,0.14,0.14,0,0.41
