stage,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Granulocyte,Hepatocyte,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,1,1,0,0,3,0,0,0,0,0,0,0,0
72hpf,0,0,0,0.28,0,0,0,0,0.28,0.28,0.28,0.56,0,1.97,0.85,0,0,0,0,0.28,0,0,0
21Day,0,0,0,0.74,0,0,0,0.37,0,0,0,1.85,0.37,3.33,0.37,0.74,0,0.74,0.37,0,0,0,0.37
3Month,0,0.1,1.66,0,0.1,0.42,2.6,0.42,0,0.62,0.1,0,0.1,0,0,0,0.62,0,0,0.21,0.31,0.1,0.21
22Month,0.27,0,0.27,0,0,0.14,1.09,0.41,0,0,0.27,0.27,0,0,0,0,0,0,0,0,0,0,0
