stage,Hepatocyte,Ionocyte,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Spermatocyte
72hpf,0,0,11.56,0.28,0,0,0.28,0,0,0
21Day,0,0,5.55,0.74,0,0.37,0,0.37,0,0
3Month,0,0.1,0,0,0,0,0,0,0,0.1
22Month,1.5,0,0,0,0.14,0.14,0,0,0.14,0
