stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Hepatocyte,Immune_progenitor_cell,Ionocyte,Keratinocyte,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Radial_glia,Retinal_pigment_epithelial_cell
24hpf,0,0,1,0,0,0,0,0,3,2,13,2,0,1
72hpf,0.28,0,0,0,0,0,0,0.56,0.85,1.97,1.41,0.28,0.28,0
21Day,0,0.37,2.22,0.37,0.37,0.74,0.37,0.37,1.11,1.11,0.37,0,0.37,0.37
