stage,Epithelial_cell,Hatching_gland,Hepatocyte,Keratinocyte,Macrophage,Oligodendrocyte,Smooth_muscle_cell,T_cell
24hpf,0,1,0,0,0,0,0,0
21Day,0,0,0,0.37,0,0,0,0
3Month,0,0,0,0.1,0,0,0.1,0.1
22Month,0.27,0,0.55,0,0.14,0.14,0,0
