stage,Endothelial_cell,Epithelial_cell,Erythroid_progenitor_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Radial_glia
24hpf,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
72hpf,0.28,0.28,0,0,0,0,0,0,0,0,0,0,0,0,1.13,0,0.28
21Day,0,0.37,0.37,0,0,0,0,0,0,0,1.11,0,0,0,0.74,0.37,0
3Month,0,0.1,0,0.1,0,1.77,0.1,0.21,0.1,0,0.1,0.1,0,0.1,0,0,0
22Month,0,0.14,0,0,0.14,0.41,0,0.14,0,0.14,0,0,0.14,0,0,0,0.14
