stage,Endothelial_cell,Epithelial_cell,Erythrocyte__Liver_,Erythroid_progenitor_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_cell,Spermatocyte,T_cell
24hpf,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
72hpf,0.28,0,0,0,0,0,0,0,0,0.28,0,0,0,0,0,0,0.28,0,0,0.28,0,0.56,0,0,0,0,0
21Day,0,0.37,0,0,0.37,0.37,0,2.96,0,0,0,0.74,0,0,0,0,0.37,0.37,0,0,0,0,0.37,2.22,0,0.37,0
3Month,0.1,0.31,0,0,0.42,0.94,0.21,0,0.42,0.31,1.98,0.31,0.1,0,0.1,0.21,0.1,0,0,0.1,0,0,0.31,24.44,0,9.15,0.73
22Month,0.41,0.27,0.14,0.14,0.41,2.73,0.14,2.19,0.27,0.14,11.89,0.96,0,0.27,0.27,0.14,0,0,0.41,0.14,0.27,0,0,4.92,0.14,0,1.64
