stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
72hpf,0.28,0,0,0.28,0,0,0,0,0,0,0,0,0,0.56,0,3.66,0,0.28,0,0,14.37,2.82,0,0.28,0,1.97,0,0,0.56,0.28,0,0,0
21Day,0,0,0,0.37,0,0,0,0,0,0,0.37,0,0,0.37,0,6.29,0,0,0,0,7.4,0.37,0,0.37,0,4.44,0.74,0,0,0,0,0,0
3Month,0,0,0,2.39,0.1,0.21,0.42,0,3.43,0.21,0,0.94,0.21,0.83,0.52,1.77,0.1,0,0.21,0.21,0.21,0.1,0.1,0.1,0,0,0.31,0.1,0.1,0,0.1,0.21,0.31
22Month,0,0.14,0.14,1.09,0,0.14,0.55,0.96,16.67,0.55,0.27,1.37,0,0.27,0.96,0.68,0,1.23,0,0,0.14,0,0.14,0,0.14,0,0,0,0,0,0,0,0.27
