stage,Epithelial_cell,Epithelial_cell__Brain_,Hepatocyte,Mesenchymal_cell,Muscle_cell,Neural_cell,T_cell
72hpf,0,0.28,0,0,0,0.85,0
21Day,0,0,0,0,0.37,0,0
3Month,0.1,0,0.21,0,0,0,0
22Month,0.14,0,0.27,0.14,0,0,0.14
