stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0.28,0,0,0,0,0,0,0,0,0,0,0,0.56,0,0,0,0,0,7.05,2.54,1.13,0,0,0,0,0,0,0,0.28,0,0,0
21Day,0.74,0,0,0.37,0.74,0,0,0,0,0,0.37,0,0,0,0,0.74,0,1.11,0,0,0,9.62,0.74,0.37,0,0,0.37,0,0,0.37,0,0,0,0,0
3Month,0.1,0.73,0.1,3.22,0,0.21,0.21,0.1,1.04,2.08,3.85,3.12,0.31,2.08,0.21,1.66,0.73,2.29,0.52,0.1,0.42,140.84,0.42,0,0.21,0.1,0.1,0.83,1.35,0.21,0,0,0.31,0.83,1.25
22Month,0,0.14,0,0.41,0,0,0,0,0,0.14,2.32,0.14,0,0,0,0,0.41,0.41,0,0.27,0,4.24,0,0,0,0,0,0,0.41,0,0.14,0,0,0,0.14
