stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,110,1,2,0,0,0,6,0,1,0,0,0,0,0,0,0,0
72hpf,1.41,0,0,9.02,0,0.85,0,0,0,0,0,0,0,0,0,0,166.57,0,3.1,0,0,8.74,5.07,0,1.69,0,0,1.13,0,0,0,0,0
21Day,2.22,0,0,61.79,0,4.44,0,0.37,0,0.37,0,0.74,0,0.74,1.48,1.48,378.5,1.48,5.18,0.74,0,7.03,3.7,0,1.85,3.33,0,1.48,1.11,3.33,0,0,0.74
3Month,0,0.1,0.31,79.78,0.1,0,0.42,0,1.77,0.21,0,2.39,0.73,0.21,0.83,4.37,4.06,0.52,0.42,0.21,0.62,0.52,0.1,0.42,0,0.52,4.89,0,0,0,0.31,0.31,0.1
22Month,0,0,0.55,12.98,0.14,0,0.14,0,0.82,0.14,0.55,2.6,0,0,0.27,0.27,1.5,0.14,0.41,0,0,0,0.14,0.27,0,0,0.14,0,0,0,0,0,0
