stage,Epithelial_cell,Granulocyte,Hepatocyte,Intestinal_bulb_cell,Keratinocyte,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,3.95,0.56,0,0,1.13,0,0,0
21Day,0.37,0,0,0,0,0,0,1.48,0,0,0,1.11,0,0,0
3Month,0.94,0,0.1,0.21,0.1,0,0,0.1,0,0.1,0.1,0,0.1,0.21,0
22Month,0.68,0.27,4.1,0.41,0,0.14,0.14,0,0.14,0,0.14,0,0,0,0.14
