stage,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Goblet_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,1.13,0,0,0,0,0,0.56,0,0,0,0,0.28,0.28,0,0,0,0,0,0
21Day,0,0.74,1.85,0,0,0,0,0,0.37,0,0.37,0,0,0.37,0.37,0,0,0,0,0,0
3Month,0.1,10.4,0.94,0.21,1.14,0.31,0.42,0.83,0.1,0.21,0,0.1,0.31,0.62,0,0.21,0.42,0.1,0.21,21.43,0.21
22Month,0,1.23,0.14,0,0.68,0,0.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0
