stage,Endothelial_cell,Epithelial_cell,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Primordial_germ_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.28,0,0,0,0,0
21Day,0,1.11,0.37,0,0,0,0,0,0,0,0.37,0.37,0,0,0,0,0.37,0,0,0.37,0,0,0.37
3Month,0.1,0.62,0,0.42,0,0,0.31,0.21,0,0.42,0.1,0.52,0.21,0,0,0,0,0,0,0,0,0.1,0.31
22Month,0,0.14,0,0,0.27,0.14,1.23,0,0.14,0.96,0,0.27,0.55,0.55,0.14,0.14,0,0,0.14,0,0.14,0,0.27
