stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
72hpf,0.56,0.56,0.28,0,0,0,1.69,0,0,0,0,0,0.56,0.85,2.54,1.13,0,0.28,0,0,0.28,0.28,0,0,0,0.28,0,0,0,0,0,0
21Day,0,0.37,1.11,0,0.37,0,1.48,0,0,0,0.37,0,0,1.85,5.55,5.18,0,0,1.11,0,0.37,0,0,0,0,1.85,0.37,0,0,0,0,0
3Month,0,0.83,2.5,0.21,0,0.73,46.39,0,1.77,0.94,0,0.73,0,1.14,7.49,4.58,0.52,0,0.31,0.52,0.1,0,0.21,0.21,0,0,0.52,0.94,0.1,0.31,17.68,0.52
22Month,0,1.09,1.5,0.41,0,0.41,49.88,0.27,22.96,0.27,0.14,0.82,0,0.14,10.25,5.47,0,0.55,0.27,0.14,0,0.14,0.82,0,0.68,0.41,0.14,0.27,0.41,0.27,0,0.41
