stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,25,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,1.97,0.56,0,0.85,0.56,1.69,0,0,0,0,0,0,0.28,0,1.69,1.69,0.28,1.69,0,0.28,0,0,210.82,40.02,0,1.13,0,2.25,0,0,7.33,0.28,0.28,0,0,0
21Day,0.37,0,0,1.48,0,2.59,0.37,0,0,0,0.37,0,0.74,0.37,0,0.74,0.74,1.85,0,0,0.74,0,49.95,17.02,0.37,1.11,0,0.74,1.85,0.37,7.77,0.37,0.37,0,0,0.74
3Month,0,0,0.1,0.42,0,0,0,0,0.21,0.31,1.25,1.46,0,0.42,0.31,0.42,0.31,1.04,0.1,0,0.52,0.21,2.08,0.42,1.35,1.04,0,0,0.21,30.58,0.52,0,0.21,0.31,21.53,0.31
22Month,0,0.14,0,0,0.14,0,0,0.14,0.14,0.14,2.6,0.41,0.14,0.68,0,0,0,0.68,0,0,0,0,1.5,0.41,1.23,0.96,0.14,0,0.14,8.2,0.14,0,0.14,0,0.27,0
