stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,3,25,0,0,0,0,0,0,0,0,0
72hpf,3.1,0,1.69,0,0.56,0,0,0,0,0,0,0,0,0,1.69,0.28,9.02,0.28,0,98.08,16.07,0,1.69,4.23,0,1.97,0.28,0,0,0
21Day,4.07,0.74,1.85,0.37,0,0.37,0,0.37,0,0.37,0,0,0,0.37,0.37,0.37,5.92,0,0,19.24,5.18,0,0,1.11,0.74,0,0.37,0,0,0
3Month,0,0.31,1.56,0,0,0,0,0.42,0,0.94,0.42,0,0.62,0,0.21,0.31,1.56,0,0.21,0.31,0.1,0.1,0,0,1.04,0,0,0.1,0.1,0.1
22Month,0,0.14,0.55,0,0,0.14,0.14,0.41,0.14,5.33,0.27,0.14,0.82,0,0.14,0.41,0.96,0.14,0,0.14,0,0.14,0.14,0,0.41,0.14,0,0,0,0.14
