stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,31,66,0,0,0,0,0,0,0,0,0,0
72hpf,0.85,0,0,0.85,0.28,0.56,0,0,0,0,0,0,0,0,0.28,1.97,0,1.41,0,0,0,127.68,7.05,0,0,1.41,0,0,0.85,0.28,0.28,0,0
21Day,0,0,0,0.74,0,0.37,0,0,0,0,0,0,0,0,0,0.37,0.74,0.74,0,0,0.37,27.01,1.48,0,0,0,1.11,0,0,0,0.37,0,0.37
3Month,0,0.1,0.21,6.76,0,0,0.1,12.17,0.1,0,2.7,0,0.1,0.31,0,0.42,0,0.42,0.1,0,0.1,0.73,0,0.21,0.1,0,0,0.52,0,0,0,0.1,0.21
22Month,0,0.14,0.41,14.07,0,0,0.14,6.56,0.41,0.14,4.1,0.14,0.14,0.14,0,0,0.14,0.41,0,0.14,0.14,0.55,0,0.27,0,0,0.27,0.68,0,0.14,0,0,0
