stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Spermatocyte,T_cell
24hpf,7,1,0,8,0,0,0,0,3,0,0,0,0,1,5,26,0,0,13,302,0,0,2,0,0,0,0,0
72hpf,3.38,0,0,1.69,0.28,0,0,0,0,0,0,0,0.28,1.97,0.28,6.48,0,0,53.55,9.86,0,0.28,13.25,0,0.28,3.95,0,0
21Day,2.96,0,0,0,0.74,0,0,0,0,0,0,0,0.37,0.37,0,8.14,0,0,3.7,1.85,0,0,12.58,0,0,0.37,0,0
3Month,0,0.1,0,1.77,0,0.31,0.42,0,0,0.94,0,0.1,0.1,0.42,0.1,11.34,0.42,0,0,0.1,0.1,0.21,0.1,0.1,4.26,0,0.73,0.1
22Month,0,0.41,0.27,0.41,0,0.41,0.68,0.14,0,2.87,0.27,0,0,0,0.55,11.48,0.14,0.14,0.14,0,0.14,0.14,0,0,3.28,0,0,0.41
