stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,52,0,0,0,2,0,0,0,0,1,0,0,0
72hpf,1.97,0.28,0,0.56,0.56,0.28,0,0,0,0,0,0,0,0,1.41,2.25,0.28,3.66,0.28,0,0,24.24,20.29,0,0,0,5.36,0,0,4.51,0.28,0.56,0,0,0
21Day,1.11,0.37,0,3.7,0.37,0.37,0,0,0.37,0,0.37,0,0,0,0.37,1.11,0.37,5.55,0,0,0,5.92,3.7,0,0,0,1.11,0.37,0,0.37,0.37,0.37,0,0,0
3Month,0.21,0.52,0,3.43,0,0,0,0.73,0.31,0,4.89,1.25,0,1.98,0.62,1.04,0.94,0.73,0,0.1,0.21,0.52,0.21,0.31,0.1,0,0,0.1,3.12,0,0,0.1,0.31,5.1,0.31
22Month,0,0.55,0.14,0.68,0.14,0,0.14,0.27,0,0.96,11.75,0.41,0.14,3.01,0,0,0.96,0.55,0,0.14,0,0,0,0.27,0,0.14,0.14,0,0.14,0,0,0,0,0,0.14
