stage,Cardiomyocyte,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,T_cell
72hpf,0,0,0.56,0,0.28,0,0,0,0,0,0,0,0,0.28,0.28,1.69,0.28,0,0,7.33,1.41,0.85,0,0,0,15.78,35.23,0,0
21Day,3.7,1.48,9.62,0,3.7,1.48,0.37,0,0.74,0,1.85,1.11,0.74,4.07,0.74,8.14,0.37,1.48,0.37,12.58,5.18,3.33,1.11,0,1.48,70.3,365.92,0.37,0.74
3Month,0,0.1,0.83,0.1,0,0,0,0,0.31,0.1,0.1,0.21,0.1,0.31,0.1,0.1,0,0,0,0.21,0,0.1,0,0.52,0,0.31,0.31,0.31,0
22Month,0,0,0.14,0,0,0,0.55,0.14,0.96,0.14,0,0.27,0,0,0.27,0.27,0,0.14,0,0,0,0,0,0.68,0,2.32,0.41,0.14,0.27
