stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,2,1,0,17,0,0,0,0,0,0,0,2,0,0,0,0,1,1,2,1,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0
72hpf,0.85,0.56,0,9.02,0.85,0.28,0,0,0,0.56,0,0,0,0,0,0,1.13,16.63,0.56,1.69,0,0,0,14.09,3.66,0.28,0,2.54,0,0,0.56,0,0.56,0,0,0
21Day,1.48,0.37,2.22,27.75,0.37,1.85,0,0,0,2.59,0,0,0,0.37,4.81,0,0.37,25.9,2.59,11.47,0,0,2.59,18.13,4.07,0,8.14,2.59,2.59,0.37,0.37,1.85,2.22,0,0,1.85
3Month,0.1,0.94,0.1,2.39,0,0,0,0.1,0.42,8.95,0,0,1.98,1.77,0.31,0.83,0.21,3.43,1.87,0.73,0.21,0,3.74,0.21,0.1,0.1,1.35,0.31,0,0.83,0,0,0,0.1,0.62,0.83
22Month,0,1.09,0.14,1.91,0,0,0.27,0,0.27,16.53,0.41,0,4.37,2.46,0.96,0.82,0,0.27,3.01,0.96,0.14,0.41,3.14,0.27,0,0.14,2.46,0,0,0.14,0,0,0,0,0,0.82
