stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Granulocyte,Granulosa_cell,Hepatocyte,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell
24hpf,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,4,0,0,0,0
72hpf,0.28,0.28,0.85,0.28,0,0,0,0,2.82,0,0.28,0,0,0.28,0,0.85,9.02,0.85,0,0.28,0
21Day,0,0.37,5.55,0,0,0,0,0,4.81,0,1.85,0,0,0.37,0.37,1.11,4.07,0.37,0.37,0,0
3Month,0,0,1.87,0,0.21,0,0.31,0.21,0.31,0,0.73,0.1,0,0.1,0,0,0.21,0,0,0,0.42
22Month,0,0,0.14,0,0,0.27,0.14,0.14,0.27,0.14,0.27,0,0.14,0,0,0.14,0,0,0,0,0.14
