stage,Cardiomyocyte,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Granulocyte,Hepatocyte,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,T_cell
72hpf,0,0,0,0.28,0.56,0,0,0,0,23.11,0.28,0,0,4.51,0.28,0.28,0,0,0.28,0,0
21Day,0.37,0.37,1.48,0,0.74,0,0,0,0,36.26,0.37,0,0,1.85,0.37,0,0.37,0,0,0.74,0
3Month,0,0,1.77,0,0,0.1,0.62,0.1,0.1,1.35,0.1,0.21,0.31,0,0,0,0,0.31,0,0,0.1
22Month,0,0,0.14,0,0,0,0.82,0,0,0.27,0.14,0.14,0,0,0,0,0,0,0,0,0
