stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,5,1,1,0,0,0,3,6,0,0,0,0,0,0,0,0,0,0
72hpf,0.85,0,3.1,1.41,1.97,0,0,0,0,0,0,0,0,0,0,2.54,1.69,0.28,1.13,0.56,0,0,42,1.69,0.56,0,1.13,0,0,0.56,0.28,0,0.28,0
21Day,0.74,0.37,5.18,0.74,1.48,0,1.11,0,0,0,0,0.37,0,0.37,0.37,1.11,2.59,1.48,2.22,0,0.37,0,21.09,1.11,0.74,0,5.18,0.74,0,0,0,0.37,0,0.37
3Month,0,0.1,2.39,0,0,0.1,0,0.42,0.1,0,0,3.22,0.21,0,0.21,0.42,0.52,0.1,0.42,0,0.42,0.1,1.14,0,0.21,0,0,0.1,0.1,0,0,0,0,0.42
22Month,0,0,2.32,0,0,0,0,0.55,0.55,0.96,0,15.17,0.27,0,0.55,0.14,0.27,1.09,0.27,0,0.82,0,1.23,0,0.82,0.14,0,0.14,0.27,0.27,0.41,0,0,0.27
