stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Pancreatic_macrophage,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,79,42,0,196,9,7,0,1,0,0,2,1,23,1,0,0,1,18,71,111,324,0,3,0,1,139,2376,2,0,0,54,0,0,0,0,0,0,12,0,0,0
72hpf,61.72,18.88,0,79.76,11.84,22.83,0,5.36,0,0,1.69,0,0,0.56,0,10.71,0,62.01,190.25,12.68,173.34,0,18.88,4.79,2.82,792.27,539.46,2.82,6.48,0,131.9,6.48,0,1.41,55.52,5.07,4.23,10.99,0,0,0.28
21Day,83.99,10.36,5.55,284.89,7.77,72.52,0,79.55,0,2.96,7.4,0.37,0,27.01,4.81,89.91,20.72,17.39,105.08,42.55,232.35,0,0.74,25.53,0.37,202.38,197.2,3.7,7.4,0,88.06,28.12,0,4.81,34.78,5.92,9.99,3.7,0.74,0,24.42
3Month,2.6,22.99,21.43,487.74,2.39,0,7.7,14.77,0.73,54.92,101.62,0.52,0,906.51,110.36,27.04,243.82,34.74,129.81,131.06,130.75,39.21,2.08,51.38,29.23,19.14,7.39,23.51,18.52,0,8.11,25.9,0.52,426.26,4.89,0.73,0.1,2.29,38.8,192.74,95.49
22Month,2.19,32.11,26.78,150.59,1.23,0,11.48,6.42,0.55,38.13,150.45,65.32,0,1626.4,48.65,58.62,272.34,8.75,25.96,191.86,135.83,4.92,61.36,24.73,2.87,9.57,2.19,18.58,21.45,6.42,5.06,5.47,0,72.83,8.2,5.88,0,0.96,3.83,0.27,30.06
