stage,Cardiomyocyte,Epithelial_cell,Erythrocyte,Ionocyte,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Retinal_cone_cell
24hpf,0,0,0,0,0,0,1,0,0
72hpf,0,0,0.28,0,1.41,1.13,0,0.85,0.28
21Day,0.37,0.37,0.37,0.37,3.33,0.37,0,0.74,0
