stage,Cardiomyocyte,Enterocyte,Epithelial_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5,0,1,0,0,0,0
72hpf,0.28,0,0,0,0,0,0,0,0,0,0,0.28,0,0,0,0.56,0.28,0,1.41,0,0,0,0
21Day,0.37,0,0,0,0,0,0,0,0,0,0,0.37,0,0,0,0.37,0,0,5.55,0,0,0,0
3Month,0,0,0.31,0.21,0.52,0,0.73,0.21,0.21,0.1,0.42,0.52,0,0,0,0,0,0,0.31,0.21,1.87,1.77,1.14
22Month,0,0.14,0.55,0.14,0.96,9.98,7.52,0.14,0,0,0.14,0.27,0.14,0.14,0.14,0.14,0,0.14,0.14,0.14,5.6,0,0.14
