stage,Cardiomyocyte,Epithelial_cell,Epithelial_cell__Brain_,Goblet_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Oocyte,Primordial_germ_cell,Radial_glia,Spermatocyte
24hpf,1,0,0,0,0,0,0,0,1,0,6,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0.28,2.82,0,0,0,0.28,0
21Day,0,0.74,0.37,0,0,0,0,0.37,0.37,0.37,0,0,0,0.37,0
3Month,0,0,0,0.1,0.31,0.1,0,0,0.21,0,0,0,1.25,0,0.21
22Month,0,0.27,0,0,0.82,0,0.41,0,0,0,0,0.41,0.27,0,0
