stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0.28,0,0,0.28,0,0,0,0,0,0,0,0,0,0,0,0.85,0,0,0,3.66,0.56,0,0,0,0,0,0.56,2.25,3.66,0,0,0
21Day,0,0.37,0,0,0,0,0,0,0,0,0.37,0,0,0,0,0.37,0.74,0,0,0,1.48,0.37,0,0,0,0,0,0,1.48,0.37,0.37,0,0.37
3Month,0,0.94,0.21,0.52,0,0,0,0,0,0,14.77,0.21,0,0.42,0.1,0.42,0.31,0,0,0.1,0,0,0,0,0,0.21,0.21,0,0,0,0,0.1,0
22Month,0.14,0.82,0,1.64,0,1.5,0.27,0.14,0.96,0.14,397.1,0.27,0.27,1.5,0.14,0.68,1.91,22.96,0.41,0,0.14,0.14,0.14,0.27,0.41,0.27,0.27,0,0.27,0,0,0,0.55
