stage,Endothelial_cell,Enterocyte,Epithelial_cell,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Primordial_germ_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.28,0,0,0,0,0,0,0,0
21Day,0,0,2.59,0.37,0,0,0,0,0,0,0,0.37,0,2.22,0,0,0,0,0,0.37,0,0,1.11,0,0,0,0
3Month,0.52,0,0.62,0,0.1,0.1,0.73,0,1.77,0.21,0,0.62,0.1,14.87,0.73,0,0.62,0.1,0.21,0,0.1,0.1,0.73,0.21,0.1,0.1,0.31
22Month,0.27,0.14,0.41,0,0,0,0,0.14,5.74,0,1.09,0,0.27,1.5,0,0.14,0.14,0,0.14,0,0,0.14,0.14,0.27,0,0,0
