stage,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,1,0,1,0,0,0,0,0,7,0,0,0,0,0,0,1,3,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0.56,0,0.28,0.28,0,0,0,0,0.56,0,0,0,0,0,1.41,0.28,0.85,0,0,0,0,4.51,2.82,0,0.28,0,0.85,0,0,0.28,0,0.28,0,0,0
21Day,1.11,0,3.33,2.59,2.22,0.74,0,0,0,0.37,0.37,1.85,0.37,0,0.37,1.85,3.7,0,0,0.37,0,2.22,1.48,0,0,0,1.11,0.74,0,0,0.37,0.37,0,0,1.11
3Month,1.04,0.83,7.49,0,0,4.47,2.91,0,0,23.09,5.62,0.62,3.12,0.62,2.6,7.28,1.66,0.31,0,3.02,2.5,0.42,0.1,1.46,0.21,0,0,0.94,7.18,0.31,0.1,0,0.31,2.29,1.66
22Month,0.55,0.41,1.5,0,0.14,1.37,3.69,1.37,0,57.12,3.01,1.5,2.73,0.14,0.27,3.14,1.64,0.14,0.27,0.82,0.27,0,0,0.41,0.27,0.14,0.27,0.41,1.23,0.41,0.14,0,0,0,0.82
