stage,Cardiomyocyte,Enterocyte,Epithelial_cell,Erythrocyte,Granulocyte,Granulosa_cell,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,2,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0.28,0.28,1.41,0,0,0.28,0,0,0,0,0,0,0,0.28,0
21Day,0.37,0,0.74,0.37,0,0,0,0.37,0,0,0,0,2.59,0,0.37,0.37,0,0,0.74,0,0,0.37,0.37,0,0.37
3Month,0,0.21,0.42,0,0.1,0,0.1,0,0.1,0.1,0,0.1,0.31,0,0,0,0,0,0,0,0.1,0,0,0,0
22Month,0,0,0.27,0,0.27,0.14,1.37,0,0.14,0,0.14,0.14,0.14,0.14,0,0,0,0.14,0,0.14,0,0,0,0,0
