stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,1,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0.28,0,0,0,0,0,0,0,0.56,0,0,0,0.28,0,0,0,0,0,0,0,0
21Day,0.37,0,0,0,0,0,0,0,0,0,1.85,0,0,0,0,0,0,0,0,1.48,0.37,0,0,0,0,0,0,0,0,0,0,0
3Month,0,0.21,7.07,1.77,0.21,0.73,0.83,0,2.08,1.14,64.39,0.62,1.35,0.52,1.46,0.21,0,0.21,0.1,0.1,0,0.21,0.21,0,0.83,1.04,0,0,0.1,0.42,1.66,0.94
22Month,0,0.14,18.86,1.09,0,1.5,0.55,0.55,10.25,0.82,95.93,0,0.27,0.55,0.68,0,0.27,0.27,0,0,0,0.27,0,0,0.27,0.55,0.14,0.14,0,0.27,0.14,0.27
