stage,Endothelial_cell,Epithelial_cell,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0.28,0,0.56,0.28,0,0,0.28,0,0,0,0,0,0
21Day,0,1.11,0,0,0,0,0,0,0,0,0,0.37,0,1.11,0.74,0.37,0.74,0,0,0.37,0,0,0,0,0,0
3Month,0.1,1.04,0.1,0.52,0.31,0,1.66,0.1,0.1,1.66,0.1,0.1,0.62,0.31,0.1,0.1,0,0.1,0,0,0.1,0.42,0,0.21,0.1,0.42
22Month,0.27,1.37,0,0.14,0.68,0.27,4.24,0.41,0.14,2.05,0,0.14,0.27,0.14,0,0,0,0,0.41,0,0,0,0.14,0,0,0.41
