stage,Cardiomyocyte,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Pancreatic_cell,Pancreatic_macrophage,Primordial_germ_cell,Smooth_muscle_cell,T_cell
24hpf,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,5.07,0,0,0,0,0,0,0,0,0,16.35,0,0.28,0,0.85,0.28,0,0,0,0,0,0,0
21Day,0.37,0,4.81,0.74,0,0,0.37,0,0,0.37,0.37,0,10.36,0.74,0,0,0.37,0,0,0,0.37,0,0,0,0
3Month,0,0.1,1.98,0,0,0.1,1.77,0.83,8.01,0,0.31,0.1,11.03,1.56,0.21,0,0,0,0.1,0.1,0.42,0.21,0.1,0.1,0.1
22Month,0,0,0.68,0,0.14,0,4.51,3.01,3.01,0,0.41,0,2.46,1.23,0.55,0.27,0,0,0,0,0.14,0,0,0,0
