stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Pancreatic_cell,Primordial_germ_cell,Spermatocyte
21Day,0,0,0,0,0,0,0,0,0,0,0,0,0.74,0,0,0,0,0,0,0,0
3Month,0.1,0,9.15,0,1.77,0,0,0.21,0.21,0.52,0.1,0.1,0.31,0.1,0.1,0.21,0,0,0.1,0.31,0.21
22Month,0,0.27,0.96,0.14,0.68,0.27,0.14,1.5,0,0.41,0,0,0.27,0,0.14,0.27,0.14,7.24,0,0,0
