stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Hatching_gland,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Radial_glia,T_cell
24hpf,1,2,0,0,0,0,1,0,1,1,0,1,5,0,2,67,2,0,0,0
72hpf,0.28,0,0.28,0,0,0,0,0,0,0.28,0.56,0,1.97,0,3.95,12.12,0.56,0.28,0.85,0
21Day,1.85,0,3.33,8.51,4.07,0,0,0.74,0,0,0,0,1.48,0.37,1.48,8.88,1.11,0.37,0.74,0.37
22Month,0,0,0,0,0,0.14,0,0,0,0,0,0.14,0,0,0,0,0,0,0,0
