stage,Cardiomyocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0
72hpf,0,0.56,0.28,0,0,0,0,0,0,0,0,0,0,0,0,2.25,0.28,0,0,0,0,0,0,0,0
21Day,0,0.74,0,0.37,0,0,0,0,0,0.37,0.37,0,0.74,0,0,5.55,0.37,0,0.37,0,0,0,0,0,0
3Month,0.21,0.31,0,0,0.1,0.1,0.31,0.1,0,0.21,0.21,0.1,0.1,0.1,0.1,0.21,0.1,0.1,0,0.62,0.31,0.1,0.1,2.91,0.21
22Month,0,0,0,0,0,0,0.41,0,0.14,0,0,0,0,0,0,0.27,0,0,0,0,0,0,0,0,0
