stage,Endothelial_cell,Epithelial_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Pancreatic_cell,Primordial_germ_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,2.82,0,0,0,0,0,0,0.56,0,0,0,0.28,0,0
21Day,0,1.11,0,0,0,0,0,0,0,5.55,0.37,0,0,0,0,1.11,0,0,0,0,0,0,0
3Month,0,4.06,0.21,0.42,0.83,0.1,0,0.31,0,0.21,0.31,1.14,0.21,0,0.1,0.1,0,0,0.1,0.1,0,0.1,0.21
22Month,0.27,1.91,0,0.41,2.6,0.14,0.14,0.41,0.14,0,0.27,0.27,0,0.14,0,0.14,0.14,0.27,0,1.64,0,0,0.14
