stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,10,0,0,0,0,0,0,0,0
72hpf,0,0,0.85,0.28,0,0,0,0,0,0,0,0,0.28,0.56,0,0.85,0,0,3.38,0.56,0,0.56,0,0,0,0,0,0
21Day,0.74,0,0.37,0,1.11,0,0,0,0,0,0.74,0,0.37,0.74,0.37,2.59,0,0,0.37,0.37,0,1.48,0,0.74,0.37,0.37,0,0.37
3Month,0,0.21,0.83,0,0,0,0,0.1,0.62,0.21,0,0.31,0.1,0.52,0.21,0.21,0,0.1,0.21,0,0.1,0,0.83,0,0,0,3.02,0.31
22Month,0,0,0.14,0,0,0.14,0.14,0,1.23,0,0,0.27,0,0,0.14,0,0.14,0,0,0,0,0,0.14,0.14,0,0,0,0
