stage,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Pancreatic_cell,Pancreatic_macrophage,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0.28,0.28,0,0,0.28,0,0,0,0,0,0.28,2.54,0.28,0,0,1.69,0,0,0,0,0,0,0,0,1.41,0,0,0,0,0
21Day,0,0,0,0,0,0,1.11,0.37,1.11,1.48,0,0,0.37,2.59,0,0,0,1.48,0.37,0,0,0,0.37,0,0,0,2.59,3.7,0.37,0,0,0
3Month,0.21,0.62,0,0,0.1,0.21,14.98,1.35,22.78,0.31,0.31,0.1,0.1,11.13,0.31,0.21,0.21,0,0,0.31,0.21,0,0.21,0.1,0.21,0,0.1,0,0.1,0.31,0.42,0.1
22Month,0,0.41,0.14,0,0.14,0,29.11,2.32,10.93,0.82,0.41,0,0,13.94,0.27,0,0,0,0,0,0,0.14,0,0,0,0.27,6.29,0,0.14,0,0,0.14
