stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Goblet_cell,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Ionocyte,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Retinal_cone_cell,Spermatocyte
24hpf,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
72hpf,0.28,0,0,0,0,0,0,0,0,0,0,3.38,1.13,0.85,0.28,0,0,0
21Day,0,0.37,0.74,0,0,0,0,0,0,0,0,4.44,0.37,0.37,0,0.37,0.37,0
3Month,0,0.21,0.21,0,0,0.1,0.21,0.1,0.1,0.1,0.1,0,0,0.42,0,0,0,0.31
22Month,0,0.14,0,0.14,0.14,0,0,0,0,0,0,0,0,0,0,0,0,0
