stage,Epithelial_cell,Goblet_cell,Hepatocyte,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Nephron_cell,Neural_cell,Oligodendrocyte,Pancreatic_cell,Primordial_germ_cell,Smooth_muscle_cell,Spermatocyte
3Month,1.46,0.1,0.94,0.52,0.1,0.31,0.1,0.31,0.31,0.1,0.1,0.1,0.42,0.21,2.5
22Month,0,0,0.41,0,0,0,0,0,0,0,0,0,0,0,0
